Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Լոռի,Ստեփանավան / Արմանիս,գ. Արմանիսի հմ/դ,1
Արարատ,Արարատ / Արմաշ,գ. Արմաշի մ/դ,21
Արմավիր,Մեծամոր / Գ.Արմավիր,գ. Արմավիրի մ/դ,14
Արմավիր,Վաղարշապատ / Արշալույս,գ. Արշալույսի Ս.Գրիգորյանի անվ. մ/դ,23
Արագածոտն,Աշտարակ / Արուճ,գ. Արուճի մ/դ,11
Լոռի,Սպիտակ / Ղուրսալի,գ. Արջհովիտի մ/դ,3
Լոռի,Գուգարք / Արջուտ,գ. Արջուտի մ/դ,5
Վայոց Ձոր,Եղեգնաձոր / Արտաբույնք,գ. Արտաբույնքի մ/դ,2
Արմավիր,Բաղրամյան / Արտամետ,գ. Արտամետի Գուրգեն Մարգարյանի անվ. մ/դ,1
Գեղարքունիք,Ճամբարակ / Արտանիշ,գ. Արտանիշի մ/դ,1
Արագածոտն,Աշտարակ / Արտաշատավան,գ. Արտաշավանի մ/դ,6
Կոտայք,Հրազդան / Արտավազ,գ. Արտավազի մ/դ,2
Վայոց Ձոր,Վայք / Արտավան,գ. Արտավանի մ/դ,1
Արագածոտն,Թալին / Արտենի,գ. Արտենիի թիվ 1 մ/դ,12
Արագածոտն,Թալին / Արտենի,գ. Արտենիի հիմնական դպրոց,2
Արմավիր,Վաղարշապատ / Արտիմետ,գ. Արտիմետի մ/դ,13
Շիրակ,Աշոցք / Արփենի,գ. Արփենիի մ/դ,3
Վայոց Ձոր,Եղեգնաձոր / Արփի,գ. Արփիի Վ. Լևոնյանի անվան մ/դ,10
Գեղարքունիք,Վարդենիս / Արփունք,գ. Արփունքի մ/դ,3
Արարատ,Մասիս / Արևաբույր,գ. Արևաբույրի Հ.Թադևոսյանի անվ. մ/դ,8
