Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2018  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2018  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2018  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2018  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Արագածոտն,Արագած / Գեղարոտ,գ. Գեղարոտի մ/դ,12
Գեղարքունիք,Գավառ / Գեղարքունիք,գ. Գեղարքունիքի մ/դ,66
Սյունիք,Կապան / Գեղի,գ. Գեղիի մ/դ,11
Գեղարքունիք,Մարտունի / Գեղհովիտ,գ. Գեղհովիտի h. 2 մ/դ,108
Գեղարքունիք,Մարտունի / Գեղհովիտ,գ. Գեղհովիտի հ․ 1 մ/դ,115
Արարատ,Արտաշատ / Գետազատ,գ. Գետազատի մ/դ,90
Տավուշ,Իջևան / Գետահովիտ,գ. Գետահովիտի մ/դ,95
Կոտայք,Նաիրի / Գետամեջ,գ. Գետամեջի մ/դ,32
Արմավիր,Արմավիր / Գետաշեն,գ. Գետաշենի մ/դ,81
Կոտայք,Աբովյան / Գետարգել,գ. Գետարգելի հմ/դ,72
Շիրակ,Արթիկ / Գետափ,գ. Գետափի Գ. Արշակյանի անվան մ/դ,29
Արագածոտն,Թալին / Գետափ,գ. Գետափի հմ/դ,1
Վայոց Ձոր,Եղեգնաձոր / Գետափ,գ. Գետափի մ/դ,62
Գեղարքունիք,Ճամբարակ / Գետիկ,գ. Գետիկի մ/դ,13
Շիրակ,Ախուրյան / Գետք,գ. Գետքի մ/դ,30
Վայոց Ձոր,Եղեգնաձոր / Գլաձոր,գ. Գլաձորի մ/դ,63
Լոռի,Ստեփանավան / Գյուլագարակ,գ. Գյուլագարակի մ/դ,111
Վայոց Ձոր,Վայք / Գնդևազ,գ. Գնդեվազի մ/դ,27
Լոռի,Սպիտակ / Գոգարան,գ. Գոգարանի մ/դ,49
Շիրակ,Աշոցք / Գոգհովիտ,գ. Գոգհովիտի մ/դ,13
Վայոց Ձոր,Եղեգնաձոր / Գողթանիկ,գ. Գողթանիկի հմ/դ,5
Կոտայք,Աբովյան / Գողթ,գ. Գողթի մ/դ,122
Վայոց Ձոր,Վայք / Գոմք,գ. Գոմքի մ/դ,12
Տավուշ,Դիլիջան / Գոշ,գ. Գոշի թիվ 1 մ/դ,32
Տավուշ,Դիլիջան / Գոշ,գ. Գոշի թիվ 2 հմ/դ,17
Արարատ,Արարատ / Գոռավան,գ. Գոռավանի մ/դ,100
Սյունիք,Սիսիան / Գորայք,գ. Գորայքի մ/դ,12
Լոռի,Վանաձոր / Գուգարք,գ. Գուգարքի Հ.Շիրազի անվ. մ/դ,99
Շիրակ,Անի / Գուսանագյուղ,գ. Գուսանագյուղի մ/դ,34
Շիրակ,Ամասիա / Գտաշեն,գ. Գտաշենի մ/դ,6
Արմավիր,Վաղարշապատ / Գրիբոյեդով,գ. Գրիբոյեդովի Վ.Ռոստոմյանի անվ. մ/դ,68
Արարատ,Արտաշատ / Դալար,գ. Դալարի մ/դ,57
Արմավիր,Բաղրամյան / Դալարիկ,գ. Դալարիկի Հովհաննես Հովհաննիսյանի անվ. N1 մ/դ,189
Արագածոտն,Թալին / Դաշտադեմ,գ. Դաշտադեմի Գ.Բաղդասարյանի անվ. մ/դ,11
Լոռի,Տաշիր / Դաշտադեմ,գ. Դաշտադեմի մ/դ,2
