Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ,Որ երկրից է / Ռուսաստան,Որ երկրից է / ԱՄՆ,Որ երկրից է / Հայաստան,Որ երկրից է / Արցախ,Որ երկրից է / Ուկրաինա,Որ երկրից է / Ֆրանսիա
Տավուշ,Տավուշ / Այգեձոր,գ. Այգեձորի մ/դ,90,- չունի -,- չունի -,90,- չունի -,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Այգեշատ,գ. Այգեշատի մ/դ,106,- չունի -,- չունի -,102,4,- չունի -,- չունի -
Արմավիր,Արմավիր / Այգեշատ,գ. Այգեշատի Յու.Հովհաննիսյանի անվ. մ/դ,94,- չունի -,- չունի -,94,- չունի -,- չունի -,- չունի -
Արարատ,Արտաշատ / Այգեպատ,գ. Այգեպատի մ/դ,103,1,- չունի -,99,3,- չունի -,- չունի -
Արարատ,Արտաշատ / Այգեստան,գ. Այգեստանի մ/դ,201,- չունի -,- չունի -,188,13,- չունի -,- չունի -
Արմավիր,Արմավիր / Այգևան,գ. Այգեվանի Մ.Խորենացու անվ. մ/դ,100,- չունի -,- չունի -,97,3,- չունի -,- չունի -
Գեղարքունիք,Ճամբարակ / Այգուտ,գ. Այգուտի մ/դ,38,- չունի -,- չունի -,38,- չունի -,- չունի -,- չունի -
Արարատ,Մասիս / Այնթապ,գ. Այնթապի Բյուզանդ Մարգարյանի անվ. թիվ 2 մ/դ,597,1,- չունի -,570,26,- չունի -,- չունի -
Արարատ,Մասիս / Այնթապ,գ. Այնթապի թիվ 1 մ/դ,350,- չունի -,- չունի -,334,15,- չունի -,1
Տավուշ,Նոյեմբերյան / Այրում,գ. Այրումի Հ.Մալինյանի անվ. մ/դ,147,- չունի -,- չունի -,142,5,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Այրք,գ. Այրքի մ/դ,10,- չունի -,- չունի -,10,- չունի -,- չունի -,- չունի -
Սյունիք,Սիսիան / Անգեղակոթ,գ. Անգեղակոթի մ/դ,65,- չունի -,- չունի -,61,4,- չունի -,- չունի -
Շիրակ,Անի / Անիպեմզա,գ. Անիպեմզայի մ/դ,27,1,- չունի -,26,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Անուշավան,գ. Անուշավանի մ/դ,115,- չունի -,- չունի -,115,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Ճամբարակ / Անտառամեջ,գ. Անտառամեջի մ/դ,10,- չունի -,- չունի -,10,- չունի -,- չունի -,- չունի -
Լոռի,Գուգարք / Անտառամուտ,գ. Անտառամուտի հմ/դ,9,- չունի -,- չունի -,9,- չունի -,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Անտառուտ,գ. Անտառուտի մ/դ,47,- չունի -,- չունի -,44,3,- չունի -,- չունի -
Արագածոտն,Թալին / Աշնակ,գ. Աշնակի Գ.Չաուշի անվ. մ/դ,58,- չունի -,- չունի -,54,4,- չունի -,- չունի -
Սյունիք,Սիսիան / Աշոտավան,գ. Աշոտավանի մ/դ,37,- չունի -,- չունի -,34,3,- չունի -,- չունի -
Շիրակ,Աշոցք / Աշոցք,գ. Աշոցքի մ/դ,142,- չունի -,- չունի -,141,1,- չունի -,- չունի -
Տավուշ,Իջևան / Աչաջուր,գ. Աչաջրի մ/դ,350,- չունի -,- չունի -,348,2,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Ապագա,գ. Ապագայի մ/դ,139,- չունի -,- չունի -,134,5,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Առատաշեն,գ. Առատաշենի Գ. Գրիգորյանի անվ. մ/դ,180,- չունի -,- չունի -,172,8,- չունի -,- չունի -
Շիրակ,Ախուրյան / Առափի,գ. Առափիի մ/դ,72,- չունի -,- չունի -,68,4,- չունի -,- չունի -
Կոտայք,Աբովյան / Առինջ,գ. Առինջի Կ.Ծառուկյանի անվ. մ/դ,334,3,- չունի -,313,18,- չունի -,- չունի -
Գեղարքունիք,Մարտունի / Աստղաձոր,գ. Աստղաձորի մ/դ,352,1,- չունի -,347,4,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Ավազան,գ. Ավազանի հմ/դ,12,- չունի -,- չունի -,12,- չունի -,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Ավան,գ. Ավանի Ա.Սերոբի անվ. մ/դ,62,- չունի -,- չունի -,61,1,- չունի -,- չունի -
Արարատ,Արարատ / Ավշար,գ. Ավշարի մ/դ,259,- չունի -,- չունի -,251,8,- չունի -,- չունի -
Արագածոտն,Թալին / Արագածավան,գ. Արագածավանի թիվ 1 մ/դ,198,3,- չունի -,193,2,- չունի -,- չունի -
Արագածոտն,Թալին / Արագածավան,գ. Արագածավանի թիվ 2 մ/դ,186,- չունի -,- չունի -,186,- չունի -,- չունի -,- չունի -
Արագածոտն,Ապարան / Արագած,գ. Արագածի թիվ 1 մ/դ,112,1,- չունի -,109,2,- չունի -,- չունի -
Արագածոտն,Ապարան / Արագած,գ. Արագածի թիվ 2 մ/դ,63,- չունի -,- չունի -,60,3,- չունի -,- չունի -
Արմավիր,Վաղարշապատ / Արագած,գ. Արագածի Մ.Մեխակյանի անվ. մ/դ,161,- չունի -,- չունի -,148,13,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Արագածոտն,գ. Արագածոտնի մ/դ,70,- չունի -,- չունի -,68,2,- չունի -,- չունի -
Կոտայք,Նաիրի / Արագյուղ,"գ. Արագյուղի ""Տիգրանակերտ կրթարան"" մ/դ",65,- չունի -,- չունի -,63,2,- չունի -,- չունի -
Արմավիր,Արմավիր / Արազափ,գ. Արազափի Թ. Հուրյանի անվ. մ/դ,91,- չունի -,- չունի -,89,2,- չունի -,- չունի -
